combat,time,round,actor,action,target,damage,actor_PV,target_PV
37,2025-11-10T15:07:27.718,2,Jed,skill,Hussin,52,78,0
38,2025-11-10T15:07:27.718,1,Jed,skill,Hussin,75,100,45
38,2025-11-10T15:07:27.718,1,Hussin,attack,Jed,28,45,72
38,2025-11-10T15:07:27.718,2,Jed,skill,Hussin,45,72,0
39,2025-11-10T15:07:27.718,1,Jed,skill,Hussin,35,100,85
39,2025-11-10T15:07:27.718,1,Hussin,attack,Jed,37,85,63
39,2025-11-10T15:07:27.718,2,Jed,skill,Hussin,36,63,49
39,2025-11-10T15:07:27.718,2,Hussin,attack,Jed,29,49,34
39,2025-11-10T15:07:27.718,3,Jed,attack,Hussin,15,34,34
39,2025-11-10T15:07:27.718,3,Hussin,attack,Jed,29,34,5
39,2025-11-10T15:07:27.718,4,Jed,attack,Hussin,22,5,12
39,2025-11-10T15:07:27.719,4,Hussin,attack,Jed,5,12,0
40,2025-11-10T15:07:27.719,1,Jed,skill,Hussin,73,100,47
40,2025-11-10T15:07:27.719,1,Hussin,attack,Jed,28,47,72
40,2025-11-10T15:07:27.719,2,Jed,skill,Hussin,47,72,0
41,2025-11-10T15:07:27.719,1,Jed,skill,Hussin,35,100,85
41,2025-11-10T15:07:27.719,1,Hussin,skill,Jed,61,85,39
41,2025-11-10T15:07:27.719,2,Jed,skill,Hussin,31,39,54
41,2025-11-10T15:07:27.719,2,Hussin,skill,Jed,39,54,0
42,2025-11-10T15:07:27.719,1,Jed,skill,Hussin,37,100,83
42,2025-11-10T15:07:27.719,1,Hussin,attack,Jed,26,83,74
42,2025-11-10T15:07:27.719,2,Jed,skill,Hussin,36,74,47
42,2025-11-10T15:07:27.719,2,Hussin,attack,Jed,29,47,45
42,2025-11-10T15:07:27.719,3,Jed,attack,Hussin,17,45,30
42,2025-11-10T15:07:27.719,3,Hussin,skill,Jed,45,30,0
43,2025-11-10T15:07:27.719,1,Jed,skill,Hussin,70,100,50
43,2025-11-10T15:07:27.719,1,Hussin,attack,Jed,36,50,64
43,2025-11-10T15:07:27.719,2,Jed,skill,Hussin,50,64,0
44,2025-11-10T15:07:27.719,1,Jed,skill,Hussin,38,100,82
44,2025-11-10T15:07:27.719,1,Hussin,attack,Jed,26,82,74
44,2025-11-10T15:07:27.721,2,Jed,skill,Hussin,35,74,47
44,2025-11-10T15:07:27.721,2,Hussin,skill,Jed,36,47,38
44,2025-11-10T15:07:27.721,3,Jed,attack,Hussin,18,38,29
44,2025-11-10T15:07:27.721,3,Hussin,attack,Jed,32,29,6
44,2025-11-10T15:07:27.721,4,Jed,attack,Hussin,15,6,14
44,2025-11-10T15:07:27.721,4,Hussin,attack,Jed,6,14,0
45,2025-11-10T15:07:27.721,1,Jed,skill,Hussin,36,100,84
45,2025-11-10T15:07:27.721,1,Hussin,attack,Jed,33,84,67
45,2025-11-10T15:07:27.721,2,Jed,skill,Hussin,75,67,9
45,2025-11-10T15:07:27.721,2,Hussin,attack,Jed,29,9,38
45,2025-11-10T15:07:27.721,3,Jed,attack,Hussin,9,38,0
46,2025-11-10T15:07:27.721,1,Jed,skill,Hussin,35,100,85
46,2025-11-10T15:07:27.721,1,Hussin,attack,Jed,30,85,70
46,2025-11-10T15:07:27.721,2,Jed,skill,Hussin,34,70,51
46,2025-11-10T15:07:27.721,2,Hussin,attack,Jed,35,51,35
46,2025-11-10T15:07:27.721,3,Jed,attack,Hussin,17,35,34
46,2025-11-10T15:07:27.721,3,Hussin,attack,Jed,26,34,9
46,2025-11-10T15:07:27.721,4,Jed,attack,Hussin,10,9,24
46,2025-11-10T15:07:27.721,4,Hussin,attack,Jed,9,24,0
47,2025-11-10T15:07:27.721,1,Jed,skill,Hussin,35,100,85
47,2025-11-10T15:07:27.722,1,Hussin,attack,Jed,27,85,73
47,2025-11-10T15:07:27.722,2,Jed,skill,Hussin,79,73,6
47,2025-11-10T15:07:27.722,2,Hussin,attack,Jed,30,6,43
47,2025-11-10T15:07:27.722,3,Jed,attack,Hussin,6,43,0
48,2025-11-10T15:07:27.723,1,Jed,skill,Hussin,73,100,47
48,2025-11-10T15:07:27.723,1,Hussin,skill,Jed,63,47,37
48,2025-11-10T15:07:27.723,2,Jed,skill,Hussin,36,37,11
48,2025-11-10T15:07:27.723,2,Hussin,skill,Jed,37,11,0
49,2025-11-10T15:07:27.723,1,Jed,skill,Hussin,33,100,87
49,2025-11-10T15:07:27.723,1,Hussin,attack,Jed,30,87,70
49,2025-11-10T15:07:27.723,2,Jed,skill,Hussin,34,70,53
49,2025-11-10T15:07:27.723,2,Hussin,attack,Jed,26,53,44
49,2025-11-10T15:07:27.723,3,Jed,attack,Hussin,12,44,41
49,2025-11-10T15:07:27.723,3,Hussin,skill,Jed,39,41,5
49,2025-11-10T15:07:27.724,4,Jed,attack,Hussin,13,5,28
49,2025-11-10T15:07:27.724,4,Hussin,attack,Jed,5,28,0
50,2025-11-10T15:07:27.724,1,Jed,skill,Hussin,35,100,85
50,2025-11-10T15:07:27.724,1,Hussin,skill,Jed,39,85,61
50,2025-11-10T15:07:27.724,2,Jed,skill,Hussin,32,61,53
50,2025-11-10T15:07:27.724,2,Hussin,attack,Jed,24,53,37
50,2025-11-10T15:07:27.724,3,Jed,attack,Hussin,7,37,46
50,2025-11-10T15:07:27.724,3,Hussin,attack,Jed,33,46,4
50,2025-11-10T15:07:27.724,4,Jed,attack,Hussin,20,4,26
50,2025-11-10T15:07:27.724,4,Hussin,skill,Jed,4,26,0
